17:57:23.643 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
17:57:23.649 [main] INFO  t.o.a.OrdinaryRoadAuthApplication - [logStarting,55] - Starting OrdinaryRoadAuthApplication using Java 1.8.0_271 on DESKTOP-M丶IOT with PID 15896 (G:\workspace\idea-workspace\ordinaryroad\ordinaryroad-auth\target\classes started by 19622 in G:\workspace\idea-workspace\ordinaryroad)
17:57:23.650 [main] INFO  t.o.a.OrdinaryRoadAuthApplication - [logStartupProfileInfo,659] - No active profile set, falling back to default profiles: default
17:57:25.437 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8080"]
17:57:25.438 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
17:57:25.439 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.52]
17:57:25.602 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
17:57:26.082 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
17:57:26.091 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
17:57:26.535 [main] INFO  c.a.c.s.SentinelWebAutoConfiguration - [addInterceptors,80] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
17:57:30.940 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 35 ms to scan 1 urls, producing 3 keys and 6 values 
17:57:30.974 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 20 ms to scan 1 urls, producing 4 keys and 9 values 
17:57:30.994 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 17 ms to scan 1 urls, producing 3 keys and 10 values 
17:57:31.158 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 162 ms to scan 184 urls, producing 0 keys and 0 values 
17:57:31.170 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 11 ms to scan 1 urls, producing 1 keys and 5 values 
17:57:31.183 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 11 ms to scan 1 urls, producing 1 keys and 7 values 
17:57:31.195 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 2 keys and 8 values 
17:57:31.321 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 123 ms to scan 184 urls, producing 0 keys and 0 values 
17:57:46.510 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8080"]
17:57:49.717 [main] INFO  t.o.a.OrdinaryRoadAuthApplication - [logStarted,61] - Started OrdinaryRoadAuthApplication in 30.027 seconds (JVM running for 32.957)
17:57:51.256 [RMI TCP Connection(4)-192.168.101.1] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
18:02:42.179 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,80] - De-registering from Nacos Server now...
